algo,env_id,architecture_signature,updates_per_env_step,segment,n_seeds,mean_energy_kwh,mean_energy_joules,total_flops,mean_energy_per_flop_j_per_flop
mbpo,HalfCheetah-v5,bs256_h512x512_ens7_mh200x200x200x200_mb256,1,synthetic_rollout_generation,5,1.825676000273748e-05,65.72433600985492,2375192160000.0,2.7671165776269204e-11
mbpo,HalfCheetah-v5,bs256_h512x512_ens7_mh200x200x200x200_mb256,1,target_update,5,0.0005740491296285959,2066.576866662945,110182800000.0,1.875589353930872e-08
sac,Ant-v5,bs256_h1024x1024,1,TOTAL_MEASURED_TRAINING,5,0.01734992309951479,62459.72315825324,939439104400000.0,6.648618613565693e-11
sac,Ant-v5,bs256_h1024x1024,1,actor_update,5,0.008454701587204062,30436.925713934623,413243801600000.0,7.36536775532718e-11
sac,Ant-v5,bs256_h1024x1024,1,buffer_sample,5,0.0005341434837209015,1922.9165413952453,0,
sac,Ant-v5,bs256_h1024x1024,1,critic_update,5,0.006981430022306877,25133.148080304756,525493862400000.0,4.782767198368092e-11
sac,Ant-v5,bs256_h1024x1024,1,rollout,5,0.0012033646216796808,4332.11263804685,234496000000.0,1.84741430047713e-08
sac,Ant-v5,bs256_h1024x1024,1,target_update,5,0.0007104268683241666,2557.5367259669997,466944400000.0,5.477176139101357e-09
sac,Ant-v5,bs256_h1024x1024,2,TOTAL_MEASURED_TRAINING,5,0.03315359194807983,119352.9310130874,1878643712800000.0,6.353143504533884e-11
sac,Ant-v5,bs256_h1024x1024,2,actor_update,5,0.0168510380297067,60663.73690694413,826487603200000.0,7.339945169421282e-11
sac,Ant-v5,bs256_h1024x1024,2,buffer_sample,5,0.0010637649927802552,3829.5539740089184,0,
sac,Ant-v5,bs256_h1024x1024,2,critic_update,5,0.013682392664475,49256.61359211,1050987724800000.0,4.686697325745017e-11
sac,Ant-v5,bs256_h1024x1024,2,rollout,5,0.0011968244888184737,4308.568159746505,234496000000.0,1.8373738399574004e-08
